key,en,de,fr,es
"preset.box_breathing.desc","Equal inhale, hold, exhale, and hold phases of 4 seconds each. Calms the nervous system and builds breath control.","Gleichmäßige Einatem-, Halte-, Ausatem- und Haltephasen von je 4 Sekunden. Beruhigt das Nervensystem und stärkt die Atemkontrolle.","Phases d'inspiration, de rétention, d'expiration et de rétention égales de 4 secondes chacune. Calme le système nerveux et développe le contrôle respiratoire.","Fases iguales de inhalación, retención, exhalación y retención de 4 segundos cada una. Calma el sistema nervioso y desarrolla el control respiratorio."
"preset.478.desc","Inhale for 4 seconds, hold for 7, exhale for 8. Dr. Andrew Weil's technique for reducing anxiety and aiding sleep.","4 Sekunden einatmen, 7 halten, 8 ausatmen. Dr. Andrew Weils Technik zur Angstreduktion und Schlafförderung.","Inspirez 4 secondes, retenez 7, expirez 8. La technique du Dr Andrew Weil pour réduire l'anxiété et favoriser le sommeil.","Inhala 4 segundos, retén 7, exhala 8. La técnica del Dr. Andrew Weil para reducir la ansiedad y ayudar al sueño."
"preset.silent_anchor.desc","A 1-hour silent anchor guided only by gentle pocket vibrations. Every 4 seconds a soft pulse cues your breath — inhale, then exhale. Use it at the dentist, before a presentation, during difficult conversations, on flights, or in crowds. No sound, no screen. Just a quiet rhythm hidden in your pocket.","Ein einstündiger stiller Anker, der nur durch sanfte Taschenvibrationen geführt wird. Alle 4 Sekunden signalisiert ein sanfter Puls deinen Atem – einatmen, dann ausatmen. Nutze ihn beim Zahnarzt, vor einer Präsentation, in schwierigen Gesprächen, im Flugzeug oder in Menschenmassen. Kein Ton, kein Bildschirm. Nur ein ruhiger Rhythmus in deiner Tasche.","Une ancre silencieuse d'une heure guidée uniquement par de douces vibrations de poche. Toutes les 4 secondes, une légère impulsion guide votre respiration — inspirez, puis expirez. Utilisez-la chez le dentiste, avant une présentation, lors de conversations difficiles, en avion ou dans la foule. Pas de son, pas d'écran. Juste un rythme calme caché dans votre poche.","Un ancla silenciosa de 1 hora guiada solo por suaves vibraciones de bolsillo. Cada 4 segundos un pulso suave señala tu respiración — inhala, luego exhala. Úsala en el dentista, antes de una presentación, en conversaciones difíciles, en vuelos o en multitudes. Sin sonido, sin pantalla. Solo un ritmo tranquilo escondido en tu bolsillo."
"preset.coherent.desc","Coherent Breathing is a steady breathing preset that guides you into a balanced inhale-and-exhale rhythm to support calm focus and nervous system regulation.","Kohärente Atmung ist ein gleichmäßiges Atemprogramm, das dich in einen ausgewogenen Ein- und Ausatemrhythmus führt, um ruhige Konzentration und Nervensystemregulation zu unterstützen.","La respiration cohérente est un préréglage de respiration régulière qui vous guide vers un rythme équilibré d'inspiration et d'expiration pour soutenir la concentration calme et la régulation du système nerveux.","La respiración coherente es un programa de respiración constante que te guía hacia un ritmo equilibrado de inhalación y exhalación para apoyar la concentración tranquila y la regulación del sistema nervioso."
"preset.presleep.desc","Pre-Sleep Breathing is a gentle breathing preset that slows the breath into a quiet rhythm to help the body settle before sleep.","Schlaf-Atmung ist ein sanftes Atemprogramm, das die Atmung in einen ruhigen Rhythmus verlangsamt, um dem Körper beim Einschlafen zu helfen.","La respiration pré-sommeil est un préréglage de respiration douce qui ralentit la respiration dans un rythme calme pour aider le corps à se préparer avant le sommeil.","La respiración pre-sueño es un programa de respiración suave que ralentiza la respiración a un ritmo tranquilo para ayudar al cuerpo a asentarse antes de dormir."
"preset.med10.desc","10-Minute Meditation rings a gentle bell every two minutes to help you return to awareness without interrupting the practice.","10-Minuten-Meditation läutet alle zwei Minuten eine sanfte Glocke, um dir zu helfen, ohne Unterbrechung der Praxis ins Bewusstsein zurückzukehren.","La méditation de 10 minutes sonne une douce cloche toutes les deux minutes pour vous aider à revenir à la conscience sans interrompre la pratique.","La meditación de 10 minutos suena una suave campana cada dos minutos para ayudarte a volver a la consciencia sin interrumpir la práctica."
"preset.med15.desc","15-Minute Meditation rings a gentle bell every three minutes to help you return to awareness without interrupting the practice.","15-Minuten-Meditation läutet alle drei Minuten eine sanfte Glocke, um dir zu helfen, ohne Unterbrechung der Praxis ins Bewusstsein zurückzukehren.","La méditation de 15 minutes sonne une douce cloche toutes les trois minutes pour vous aider à revenir à la conscience sans interrompre la pratique.","La meditación de 15 minutos suena una suave campana cada tres minutos para ayudarte a volver a la consciencia sin interrumpir la práctica."
"preset.med20.desc","20-Minute Meditation rings a gentle bell every 5 minutes to help you return to awareness without interrupting the practice.","20-Minuten-Meditation läutet alle 5 Minuten eine sanfte Glocke, um dir zu helfen, ohne Unterbrechung der Praxis ins Bewusstsein zurückzukehren.","La méditation de 20 minutes sonne une douce cloche toutes les 5 minutes pour vous aider à revenir à la conscience sans interrompre la pratique.","La meditación de 20 minutos suena una suave campana cada 5 minutos para ayudarte a volver a la consciencia sin interrumpir la práctica."
"preset.med30.desc","30-Minute Meditation rings a gentle bell every 5 minutes to help you return to awareness without interrupting the practice.","30-Minuten-Meditation läutet alle 5 Minuten eine sanfte Glocke, um dir zu helfen, ohne Unterbrechung der Praxis ins Bewusstsein zurückzukehren.","La méditation de 30 minutes sonne une douce cloche toutes les 5 minutes pour vous aider à revenir à la conscience sans interrompre la pratique.","La meditación de 30 minutos suena una suave campana cada 5 minutos para ayudarte a volver a la consciencia sin interrumpir la práctica."
"preset.tabata.desc","20 seconds max effort, 10 seconds rest, repeated 8 times. A high-intensity protocol proven to boost aerobic and anaerobic capacity.","20 Sekunden maximale Anstrengung, 10 Sekunden Ruhe, 8-mal wiederholt. Ein Hochintensitätsprotokoll, das nachweislich die aerobe und anaerobe Kapazität steigert.","20 secondes d'effort maximum, 10 secondes de repos, répétées 8 fois. Un protocole haute intensité prouvé pour stimuler les capacités aérobie et anaérobie.","20 segundos de esfuerzo máximo, 10 segundos de descanso, repetidos 8 veces. Un protocolo de alta intensidad demostrado para aumentar la capacidad aeróbica y anaeróbica."
"preset.hiit.desc","HIIT Classic is a high-intensity interval preset that alternates short bursts of intense effort with brief recovery periods.","HIIT Classic ist ein hochintensives Intervallprogramm, das kurze Phasen intensiver Anstrengung mit kurzen Erholungsphasen abwechselt.","HIIT Classic est un préréglage d'intervalles haute intensité qui alterne de courtes périodes d'effort intense avec de brèves périodes de récupération.","HIIT Classic es un programa de intervalos de alta intensidad que alterna cortos períodos de esfuerzo intenso con breves períodos de recuperación."
"preset.sprint.desc","Sprint Intervals is a running preset that alternates short, fast sprint efforts with longer recovery periods.","Sprint-Intervalle ist ein Laufprogramm, das kurze, schnelle Sprintanstrengungen mit längeren Erholungsphasen abwechselt.","Les intervalles de sprint sont un préréglage de course qui alterne de courts efforts de sprint rapides avec des périodes de récupération plus longues.","Los intervalos de sprint son un programa de carrera que alterna cortos esfuerzos de sprint rápido con períodos de recuperación más largos."
"preset.strength.desc","Strength Movement Pattern is a controlled strength preset that guides each repetition through a deliberate contraction, a short isometric hold, and a slow release.","Kraftbewegungsmuster ist ein kontrolliertes Kraftprogramm, das jede Wiederholung durch eine bewusste Kontraktion, eine kurze isometrische Halteposition und eine langsame Entspannung führt.","Le schéma de mouvement de force est un préréglage de force contrôlé qui guide chaque répétition à travers une contraction délibérée, une courte rétention isométrique et un relâchement lent.","El patrón de movimiento de fuerza es un programa de fuerza controlado que guía cada repetición a través de una contracción deliberada, una corta retención isométrica y una liberación lenta."
"preset.pomodoro.desc","25 minutes of focused work followed by a 5-minute break. Francesco Cirillo's method for sustained deep work and preventing burnout.","25 Minuten fokussierte Arbeit gefolgt von einer 5-minütigen Pause. Francesco Cirillos Methode für anhaltende Tiefarbeit und Burnout-Prävention.","25 minutes de travail concentré suivies d'une pause de 5 minutes. La méthode de Francesco Cirillo pour un travail profond soutenu et la prévention du burn-out.","25 minutos de trabajo enfocado seguidos de un descanso de 5 minutos. El método de Francesco Cirillo para el trabajo profundo sostenido y la prevención del agotamiento."
"preset.deepwork.desc","Deep Work is a focused work preset that gives you a long, distraction-free session with a gentle sound every 30 minutes.","Tiefe Arbeit ist ein fokussiertes Arbeitsprogramm, das dir eine lange, ablenkungsfreie Einheit mit einem sanften Ton alle 30 Minuten gibt.","Le travail profond est un préréglage de travail concentré qui vous offre une longue session sans distraction avec un son doux toutes les 30 minutes.","El trabajo profundo es un programa de trabajo enfocado que te da una larga sesión sin distracciones con un sonido suave cada 30 minutos."
"preset.mobility.desc","Mobility Drill is a simple mobility preset that guides you through a set of 8 repetitions of controlled movement, a steady end-range hold, and a slow return to the starting position.","Mobilitätsübung ist ein einfaches Mobilitätsprogramm, das dich durch 8 Wiederholungen kontrollierter Bewegung, eine stabile Endbereichshalteposition und eine langsame Rückkehr zur Ausgangsposition führt.","L'exercice de mobilité est un préréglage de mobilité simple qui vous guide à travers 8 répétitions de mouvement contrôlé, une rétention stable en fin de course et un retour lent à la position de départ.","El ejercicio de movilidad es un programa de movilidad simple que te guía a través de 8 repeticiones de movimiento controlado, una retención estable al final del rango y un retorno lento a la posición inicial."
"preset.cold.desc","2 minutes of controlled, slow breathing to support your nervous system while immersed in a cold plunge or cold shower.","2 Minuten kontrolliertes, langsames Atmen zur Unterstützung deines Nervensystems beim Eintauchen in ein Kältebad oder eine kalte Dusche.","2 minutes de respiration contrôlée et lente pour soutenir votre système nerveux lors d'un plongeon dans l'eau froide ou d'une douche froide.","2 minutos de respiración controlada y lenta para apoyar tu sistema nervioso durante una inmersión en agua fría o una ducha fría."
"preset.ultradian.desc","Ultradian Focus is a focus preset based on the body's natural energy cycles, using a longer work period followed by a real recovery break.","Ultradianischer Fokus ist ein Fokusprogramm, das auf den natürlichen Energiezyklen des Körpers basiert und eine längere Arbeitsphase gefolgt von einer echten Erholungspause verwendet.","Le focus ultradien est un préréglage de concentration basé sur les cycles énergétiques naturels du corps, utilisant une période de travail plus longue suivie d'une vraie pause de récupération.","El enfoque ultradiano es un programa de concentración basado en los ciclos de energía naturales del cuerpo, usando un período de trabajo más largo seguido de un descanso de recuperación real."
# ── Programs ─────────────────────────────────────────────────────────────────
"UNITS","UNITS","EINHEITEN","UNITÉS","UNIDADES"
"Not started","Not started","Nicht gestartet","Pas commencé","No iniciado"
"All units complete","All units complete","Alle Einheiten abgeschlossen","Toutes les unités terminées","Todas las unidades completadas"
"View →","View →","Ansehen →","Voir →","Ver →"
"Complete","Complete","Abschließen","Terminer","Completar"
"Redo","Redo","Wiederholen","Refaire","Rehacer"
"Copy","Copy","Kopie","Copie","Copia"
# Protocol descriptions (keys used with NSLocalizedString)
"5k.description","A progressive 23-unit plan that takes you from run–walk intervals to a continuous 30-minute run. Keep 2 days recovery between each session. At the end of the protocol attempt your first 5K.","Ein progressiver 23-Einheiten-Plan, der dich von Lauf-Geh-Intervallen zu einem kontinuierlichen 30-Minuten-Lauf führt. Halte 2 Tage Erholung zwischen den Einheiten. Am Ende des Programms starte deinen ersten 5-km-Lauf.","Un plan progressif de 23 unités qui vous fait passer des intervalles course-marche à une course continue de 30 minutes. Prenez 2 jours de récupération entre chaque séance. À la fin du protocole, tentez votre premier 5 km.","Un plan progresivo de 23 unidades que te lleva de intervalos correr-caminar a una carrera continua de 30 minutos. Deja 2 días de recuperación entre sesiones. Al final del protocolo intenta tu primer 5K."
"reading.description","Build your reading stamina from 5 minutes to one hour. Each session is unbroken, distraction-free reading — no breaks, no interruptions. Move to the next unit when the current one feels comfortable. A gentle bell reminds you to stay focused.","Baue deine Lese-Ausdauer von 5 Minuten auf eine Stunde auf. Jede Einheit ist ununterbrochenes, ablenkungsfreies Lesen – keine Pausen, keine Unterbrechungen. Gehe zur nächsten Einheit, wenn die aktuelle sich angenehm anfühlt. Eine sanfte Glocke erinnert dich, fokussiert zu bleiben.","Développez votre endurance de lecture de 5 minutes à une heure. Chaque séance est une lecture ininterrompue, sans distraction — pas de pauses, pas d'interruptions. Passez à l'unité suivante lorsque la précédente vous semble confortable. Une douce cloche vous rappelle de rester concentré.","Desarrolla tu resistencia lectora de 5 minutos a una hora. Cada sesión es lectura ininterrumpida sin distracciones — sin pausas, sin interrupciones. Pasa a la siguiente unidad cuando la actual se sienta cómoda. Una suave campana te recuerda mantener el enfoque."
"meditation.description","23 units. 23 days. Five minutes to thirty minutes. Each session is a single, unbroken sit. A gentle bell marks the progress and serves as a reminder to come back to the present moment. The goal is simple continuity. Showing up, sitting longer, needing less.","23 Einheiten. 23 Tage. Fünf bis dreißig Minuten. Jede Einheit ist ein einziges, ununterbrochenes Sitzen. Eine sanfte Glocke markiert den Fortschritt und dient als Erinnerung, ins Hier und Jetzt zurückzukehren. Das Ziel ist einfache Kontinuität. Erscheinen, länger sitzen, weniger brauchen.","23 unités. 23 jours. Cinq à trente minutes. Chaque séance est une assise unique et ininterrompue. Une douce cloche marque la progression et rappelle de revenir au moment présent. L'objectif est la simple continuité. Se présenter, s'asseoir plus longtemps, avoir besoin de moins.","23 unidades. 23 días. Cinco a treinta minutos. Cada sesión es una sentada única e ininterrumpida. Una suave campana marca el progreso y sirve como recordatorio de volver al momento presente. El objetivo es la continuidad simple. Aparecer, sentarse más tiempo, necesitar menos."
# Unit description format strings
"unit.5k.interval %@ %@ %lld %lld","5-Min Warm-Up + %1$@ Min Running + %2$@ Min Walking, Repeated For %3$lld Min. Total: %4$lld Min.","5-Min. Aufwärmen + %1$@ Min. Laufen + %2$@ Min. Gehen, wiederholt für %3$lld Min. Gesamt: %4$lld Min.","5 min d'échauffement + %1$@ min de course + %2$@ min de marche, répétés pendant %3$lld min. Total : %4$lld min.","5 min calentamiento + %1$@ min corriendo + %2$@ min caminando, repetidos durante %3$lld min. Total: %4$lld min."
"unit.5k.fixed %lld %@ %@ %lld","5-Min Warm-Up + %1$lld Rounds Of %2$@ Min Running + %3$@ Min Walking. Total: %4$lld Min.","5-Min. Aufwärmen + %1$lld Runden à %2$@ Min. Laufen + %3$@ Min. Gehen. Gesamt: %4$lld Min.","5 min d'échauffement + %1$lld tours de %2$@ min de course + %3$@ min de marche. Total : %4$lld min.","5 min calentamiento + %1$lld rondas de %2$@ min corriendo + %3$@ min caminando. Total: %4$lld min."
"unit.5k.rwr %lld %lld %lld","5-Min Warm-Up + %1$lld Min Running, %2$lld Min Walking, %1$lld Min Running. Total: %3$lld Min.","5-Min. Aufwärmen + %1$lld Min. Laufen, %2$lld Min. Gehen, %1$lld Min. Laufen. Gesamt: %3$lld Min.","5 min d'échauffement + %1$lld min de course, %2$lld min de marche, %1$lld min de course. Total : %3$lld min.","5 min calentamiento + %1$lld min corriendo, %2$lld min caminando, %1$lld min corriendo. Total: %3$lld min."
"unit.5k.continuous %lld %lld","5-Min Warm-Up + %1$lld Min Continuous Running. Total: %2$lld Min.","5-Min. Aufwärmen + %1$lld Min. kontinuierliches Laufen. Gesamt: %2$lld Min.","5 min d'échauffement + %1$lld min de course continue. Total : %2$lld min.","5 min calentamiento + %1$lld min de carrera continua. Total: %2$lld min."
"unit.reading.bell %lld %lld","%1$lld Min Reading. Gentle Bell Every %2$lld Min.","%1$lld Min. Lesen. Sanfte Glocke alle %2$lld Min.","%1$lld min de lecture. Douce cloche toutes les %2$lld min.","%1$lld min de lectura. Suave campana cada %2$lld min."
"unit.reading.silent %lld","%lld Min Unbroken Reading.","%lld Min. ununterbrochenes Lesen.","%lld min de lecture ininterrompue.","%lld min de lectura ininterrumpida."
"unit.meditation %lld %@","%1$lld Min Meditation. Gentle Bell Every %2$@.","%1$lld Min. Meditation. Sanfte Glocke alle %2$@.","%1$lld min de méditation. Douce cloche toutes les %2$@.","%1$lld min de meditación. Suave campana cada %2$@."
# ── Filter pills ─────────────────────────────────────────────────────────────
"All","All","Alle","Tous","Todos"
"Mind","Mind","Geist","Esprit","Mente"
"Body","Body","Körper","Corps","Cuerpo"
"Productivity","Productivity","Produktivität","Productivité","Productividad"
# ── Settings ─────────────────────────────────────────────────────────────────
"Activity","Activity","Aktivität","Activité","Actividad"
"History","History","Verlauf","Historique","Historial"
"Support","Support","Support","Assistance","Soporte"
"Contact Support","Contact Support","Support kontaktieren","Contacter l'assistance","Contactar soporte"
"Subscription","Subscription","Abonnement","Abonnement","Suscripción"
"Privacy Policy","Privacy Policy","Datenschutzerklärung","Politique de confidentialité","Política de privacidad"
"Terms of Service","Terms of Service","Nutzungsbedingungen","Conditions d'utilisation","Términos de servicio"
"FAQ","FAQ","FAQ","FAQ","FAQ"
"Legal","Legal","Rechtliches","Mentions légales","Legal"
"Audio","Audio","Audio","Audio","Audio"
"Appearance","Appearance","Darstellung","Apparence","Apariencia"
"Clear All","Clear All","Alle löschen","Tout effacer","Borrar todo"
"ACTIVE","ACTIVE","AKTIV","ACTIF","ACTIVO"
"EXPIRED","EXPIRED","ABGELAUFEN","EXPIRÉ","EXPIRADO"
"You have access to all features.","You have access to all features.","Du hast Zugang zu allen Funktionen.","Vous avez accès à toutes les fonctionnalités.","Tienes acceso a todas las funciones."
"Your free trial has expired.","Your free trial has expired.","Deine kostenlose Testphase ist abgelaufen.","Votre essai gratuit a expiré.","Tu prueba gratuita ha expirado."
"%lld days remaining in your free trial.","%lld days remaining in your free trial.","%lld Tage verbleiben in deiner Testphase.","%lld jours restants dans votre essai gratuit.","%lld días restantes en tu prueba gratuita."
"1 day remaining in your free trial.","1 day remaining in your free trial.","1 Tag verbleibt in deiner Testphase.","1 jour restant dans votre essai gratuit.","1 día restante en tu prueba gratuita."
"%lldD LEFT","%lldD LEFT","%lldT ÜBRIG","%lldJ RESTANT","%lldD RESTANTE"
# ── History ──────────────────────────────────────────────────────────────────
"Completed","Completed","Abgeschlossen","Terminé","Completado"
"Today · ","Today · ","Heute · ","Aujourd'hui · ","Hoy · "
"Yesterday · ","Yesterday · ","Gestern · ","Hier · ","Ayer · "
"%lld min · completed","%lld min · completed","%lld Min. · abgeschlossen","%lld min · terminé","%lld min · completado"
"%lld of %lld min","%lld of %lld min","%lld von %lld Min.","%lld de %lld min","%lld de %lld min"
# ── Already translated ────────────────────────────────────────────────────────
"%lld of %lld units complete","%lld of %lld units complete","%lld von %lld Einheiten abgeschlossen","%lld de %lld unités terminées","%lld de %lld unidades completadas"
"No activity yet","No activity yet","Noch keine Aktivität","Aucune activité","Sin actividad aún"
"Your sessions will appear here after you complete or stop a practice.","Your sessions will appear here after you complete or stop a practice.","Deine Einheiten erscheinen hier, nachdem du ein Training abgeschlossen oder beendet hast.","Vos séances apparaîtront ici après avoir terminé ou arrêté une pratique.","Tus sesiones aparecerán aquí después de completar o detener una práctica."
"Clear History","Clear History","Verlauf löschen","Effacer l'historique","Borrar historial"
"Clear all activity history?","Clear all activity history?","Gesamten Aktivitätsverlauf löschen?","Effacer tout l'historique d'activité ?","¿Borrar todo el historial de actividad?"
"Practice deleted","Practice deleted","Training gelöscht","Entraînement supprimé","Entrenamiento eliminado"
"This practice has been deleted. Do you want to restore and start it?","This practice has been deleted. Do you want to restore and start it?","Dieses Training wurde gelöscht. Möchtest du es wiederherstellen und starten?","Cet entraînement a été supprimé. Voulez-vous le restaurer et le démarrer ?","Este entrenamiento fue eliminado. ¿Quieres restaurarlo e iniciarlo?"
"Restore & Start","Restore & Start","Wiederherstellen & Starten","Restaurer & Démarrer","Restaurar & Iniciar"
"Build your sequence","Build your sequence","Gestalte deine Sequenz","Créez votre séquence","Construye tu secuencia"
"Build a custom sequence from scratch","Build a custom sequence from scratch","Eigene Sequenz von Grund auf erstellen","Créez une séquence personnalisée","Crea una secuencia personalizada desde cero"
"Add interval block","Add interval block","Intervallblock hinzufügen","Ajouter un bloc d'intervalle","Añadir bloque de intervalo"
"Edit Block","Edit Block","Block bearbeiten","Modifier le bloc","Editar bloque"
"Block name","Block name","Blockname","Nom du bloc","Nombre del bloque"
"Set how your session begins and ends","Set how your session begins and ends","Bestimme, wie deine Einheit beginnt und endet","Définissez comment votre séance commence et se termine","Define cómo comienza y termina tu sesión"
"Countdown before start","Countdown before start","Countdown vor dem Start","Compte à rebours avant le départ","Cuenta atrás antes del inicio"
"Announcement","Announcement","Ansage","Annonce","Anuncio"
"Start & End","Start & End","Start & Ende","Début & Fin","Inicio & Fin"
"Voice","Voice","Stimme","Voix","Voz"
"Sounds","Sounds","Klänge","Sons","Sonidos"
"More sounds","More sounds","Mehr Klänge","Plus de sons","Más sonidos"
"Voice — speaks the block's label name","Voice — speaks the block's label name","Stimme – spricht den Blocknamen aus","Voix — prononce le nom du bloc","Voz — pronuncia el nombre del bloque"
"Library","Library","Bibliothek","Bibliothèque","Biblioteca"
"Presets","Presets","Vorlagen","Préréglages","Preajustes"
"Programs","Programs","Programme","Programmes","Programas"
"Personal","Personal","Persönlich","Personnel","Personal"
"Create new timer","Create new timer","Neuen Timer erstellen","Créer un nouveau minuteur","Crear nuevo temporizador"
"Pin to Top","Pin to Top","Oben anheften","Épingler en haut","Fijar arriba"
"Unpin","Unpin","Loslösen","Désépingler","Desfijar"
"Edit","Edit","Bearbeiten","Modifier","Editar"
"Duplicate & Edit","Duplicate & Edit","Duplizieren & Bearbeiten","Dupliquer & Modifier","Duplicar & Editar"
"Delete","Delete","Löschen","Supprimer","Eliminar"
"Delete (%lld)","Delete (%lld)","Löschen (%lld)","Supprimer (%lld)","Eliminar (%lld)"
"Search","Search","Suchen","Rechercher","Buscar"
"Select","Select","Auswählen","Sélectionner","Seleccionar"
"Done","Done","Fertig","Terminé","Listo"
"Cancel","Cancel","Abbrechen","Annuler","Cancelar"
"Save","Save","Speichern","Enregistrer","Guardar"
"Save & Start Now","Save & Start Now","Speichern & Jetzt starten","Enregistrer & Démarrer","Guardar & Iniciar ahora"
"Back","Back","Zurück","Retour","Atrás"
"Back to library","Back to library","Zurück zur Bibliothek","Retour à la bibliothèque","Volver a la biblioteca"
"Start","Start","Start","Démarrer","Iniciar"
"Start again","Start again","Erneut starten","Recommencer","Iniciar de nuevo"
"Stop session","Stop session","Einheit beenden","Arrêter la séance","Detener sesión"
"Pause","Pause","Pause","Pause","Pausa"
"Resume","Resume","Fortsetzen","Reprendre","Reanudar"
"Continue session","Continue session","Einheit fortsetzen","Continuer la séance","Continuar sesión"
"Skip","Skip","Überspringen","Passer","Saltar"
"Skip phase","Skip phase","Phase überspringen","Passer la phase","Saltar fase"
"Skip round","Skip round","Runde überspringen","Passer le tour","Saltar ronda"
"STARTING IN","STARTING IN","STARTET IN","DÉBUT DANS","EMPIEZA EN"
"RND %lld/%lld","RND %lld/%lld","RND %lld/%lld","RND %lld/%lld","RND %lld/%lld"
"Paused","Paused","Pausiert","En pause","En pausa"
"Settings","Settings","Einstellungen","Réglages","Ajustes"
"Dark","Dark","Dunkel","Sombre","Oscuro"
"Free Trial","Free Trial","Kostenlose Testversion","Essai gratuit","Prueba gratuita"
"Interval Pro","Interval Pro","Interval Pro","Interval Pro","Interval Pro"
"No results","No results","Keine Ergebnisse","Aucun résultat","Sin resultados"
"Share","Share","Teilen","Partager","Compartir"
